
date,ticker,close_price,volume
1980-03-17,JPM,0.2935987412929535,62400
1980-03-18,JPM,0.295757532119751,63900
1980-03-19,JPM,0.3000751733779907,40500
1980-03-20,JPM,0.2979163229465484,18900
1980-03-21,JPM,0.3043928146362304,97200
1980-03-24,JPM,0.2968368828296661,90300
1980-03-25,JPM,0.295757532119751,72000
1980-03-26,JPM,0.2979163229465484,31500
1980-03-27,JPM,0.295757532119751,62100
1980-03-28,JPM,0.292519211769104,84000
1980-03-31,JPM,0.3011544644832611,55200
1980-04-01,JPM,0.2979163229465484,126000
1980-04-02,JPM,0.3087104260921478,58500
1980-04-03,JPM,0.3205839097499847,310800
1980-04-07,JPM,0.3227427899837494,115200
1980-04-08,JPM,0.3173455595970154,217800
1980-04-09,JPM,0.3130280375480652,181200
1980-04-10,JPM,0.3195044100284576,191700
1980-04-11,JPM,0.3195044100284576,111900
1980-04-14,JPM,0.3184252381324768,18900
1980-04-15,JPM,0.310869038105011,63300
1980-04-16,JPM,0.316266268491745,30000
1980-04-17,JPM,0.310869038105011,43500
1980-04-18,JPM,0.3087104260921478,27300
1980-04-21,JPM,0.3011544644832611,83700
1980-04-22,JPM,0.310869038105011,122700
1980-04-23,JPM,0.310869038105011,132300
1980-04-24,JPM,0.3087104260921478,209100
1980-04-25,JPM,0.3043928146362304,21600
1980-04-28,JPM,0.310869038105011,141600
1980-04-29,JPM,0.3119485378265381,45000
1980-04-30,JPM,0.3151866495609283,84900
1980-05-01,JPM,0.3205839097499847,48600
1980-05-02,JPM,0.3238222002983093,49800
1980-05-05,JPM,0.341092586517334,621300
1980-05-06,JPM,0.3356955647468567,143400
1980-05-07,JPM,0.341092586517334,483600
1980-05-08,JPM,0.3400130569934845,36300
1980-05-09,JPM,0.3378545045852661,24600
1980-05-12,JPM,0.3367749452590942,27000
1980-05-13,JPM,0.3356955647468567,40500
1980-05-14,JPM,0.3367749452590942,61200
1980-05-15,JPM,0.3356955647468567,36900
1980-05-16,JPM,0.3346161246299743,11100
1980-05-19,JPM,0.3421719372272491,51300
1980-05-20,JPM,0.3356955647468567,85500
1980-05-21,JPM,0.3335368931293487,40500
1980-05-22,JPM,0.3367749452590942,143400
1980-05-23,JPM,0.341092586517334,113400
1980-05-27,JPM,0.3378545045852661,57000
1980-05-28,JPM,0.3432514071464538,135000
1980-05-29,JPM,0.3389335572719574,108300
1980-05-30,JPM,0.3378545045852661,80100
1980-06-02,JPM,0.3356955647468567,107100
1980-06-03,JPM,0.3378545045852661,101100
1980-06-04,JPM,0.3464896380901336,143100
1980-06-05,JPM,0.3454100787639618,95700
1980-06-06,JPM,0.3626807332038879,205500
1980-06-09,JPM,0.3454100787639618,150300
1980-06-10,JPM,0.350807249546051,110700
1980-06-11,JPM,0.357283741235733,140400
1980-06-12,JPM,0.3562045395374298,178200
1980-06-13,JPM,0.3713158965110779,196200
1980-06-16,JPM,0.358363002538681,298200
1980-06-17,JPM,0.358363002538681,344100
1980-06-18,JPM,0.350807249546051,129600
1980-06-19,JPM,0.3389335572719574,82800
1980-06-20,JPM,0.3367749452590942,207000
1980-06-23,JPM,0.3356955647468567,557400
1980-06-24,JPM,0.3454100787639618,174000
1980-06-25,JPM,0.3464896380901336,294300
1980-06-26,JPM,0.3454100787639618,791400
1980-06-27,JPM,0.3464896380901336,104400
1980-06-30,JPM,0.3454100787639618,84900
1980-07-01,JPM,0.3454100787639618,89100
1980-07-02,JPM,0.3464896380901336,89100
1980-07-03,JPM,0.3475692868232727,549900
1980-07-07,JPM,0.3475692868232727,144300
1980-07-08,JPM,0.3475692868232727,148500
1980-07-09,JPM,0.3464896380901336,89100
1980-07-10,JPM,0.3497278094291687,39000
1980-07-11,JPM,0.350807249546051,33600
1980-07-14,JPM,0.3626807332038879,90300
1980-07-15,JPM,0.358363002538681,289200
1980-07-16,JPM,0.3637597858905792,103800
1980-07-17,JPM,0.3659189343452453,58500
1980-07-18,JPM,0.3691571354866028,127200
1980-07-21,JPM,0.3875070214271545,816600
1980-07-22,JPM,0.3734745383262634,253800
1980-07-23,JPM,0.3637597858905792,111900
1980-07-24,JPM,0.3659189343452453,43500
1980-07-25,JPM,0.3616013526916504,182700
1980-07-28,JPM,0.358363002538681,28800
1980-07-29,JPM,0.3605218231678009,81300
1980-07-30,JPM,0.3616013526916504,52500
1980-07-31,JPM,0.3616013526916504,125400
1980-08-01,JPM,0.358363002538681,72900
1980-08-04,JPM,0.3551249504089355,100200
1980-08-05,JPM,0.350807249546051,17400
1980-08-06,JPM,0.3529660999774933,41700
